file_urls,image_urls,name,price,url
,https://hotline.ua/img/tx/505/505637835_s265.jpg,"Apple MacBook Air 13"" Space Gray Late 2020 (MGN63)",26334.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-air-13-space-gray-late-2020-mgn63/
,https://hotline.ua/img/tx/492/492809728_s265.jpg,"Apple MacBook Pro 14"" Late 2024 Space Black (MX2H3)",86799.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-pro-14-late-2024-space-black-mx2h3/
,https://hotline.ua/img/tx/510/510903803_s265.jpg,Lenovo LOQ 15ARP9 (83JC0000US),38794.0,https://hotline.ua/ua/computer-noutbuki-netbuki/lenovo-loq-15arp9-83jc0000us/
,https://hotline.ua/img/tx/492/492060042_s265.jpg,Lenovo LOQ 15IAX9 (83GS007MPB),33645.0,https://hotline.ua/ua/computer-noutbuki-netbuki/lenovo-loq-15iax9-83gs007mpb/
,https://hotline.ua/img/tx/510/510897081_s265.jpg,Lenovo LOQ 15ARP9 (83JC009CUS),44940.0,https://hotline.ua/ua/computer-noutbuki-netbuki/lenovo-loq-15arp9-83jc009cus/
,https://hotline.ua/img/tx/302/302379206_s265.jpg,Apple MacBook Pro 16” Space Gray 2021 (MK183),55244.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-pro-16-space-gray-2021-mk183/
,https://hotline.ua/img/tx/510/510906130_s265.jpg,MSI Thin 15 B12VE (B12VE-1817XPL),29999.0,https://hotline.ua/ua/computer-noutbuki-netbuki/msi-thin-15-b12v-b12ve-1817xpl/
,https://hotline.ua/img/tx/341/341756494_s265.jpg,"Apple MacBook Air 13,6"" M2 Midnight 2022 (MLY33)",34796.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-air-136-m2-midnight-2022-mly33/
,https://hotline.ua/img/tx/510/510927378_s265.jpg,ASUS TUF Gaming A15 FA507NUR (FA507NUR-LP005),35850.0,https://hotline.ua/ua/computer-noutbuki-netbuki/asus-tuf-gaming-a15-fa507nur-fa507nur-lp005/
,https://hotline.ua/img/tx/492/492819165_s265.jpg,"Apple MacBook Pro 14"" Late 2024 Space Black (MW2U3)",67748.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-pro-14-late-2024-space-black-mw2u3/
,https://hotline.ua/img/tx/511/511653357_s265.jpg,Lenovo IdeaPad Gaming 3 15ACH6 Shadow Black (82K2028DPB),23970.0,https://hotline.ua/ua/computer-noutbuki-netbuki/lenovo-ideapad-gaming-3-15ach6-shadow-black-82k2028dpb/
